Date,tasmax,tasmin,pr,wind,rh,rsds
2020-07-20,31.63,18.24,0.0,333.504,65.3,26.51
2020-07-21,30.81,16.06,0.0,227.232,66.82,26.28
2020-07-22,33.89,18.3,0.0,350.784,64.86,26.3
2020-07-23,34.64,19.88,0.0,390.52799999999996,65.24,25.1
2020-07-24,35.32,20.7,0.0,396.576,65.69,25.96
2020-07-25,35.6,20.97,0.0,360.288,60.08,25.81
2020-07-26,36.08,19.6,50.29,295.488,72.73,20.75
2020-07-27,27.19,19.88,3.3,158.11200000000002,87.74,13.22
2020-07-28,25.48,20.01,0.76,111.45600000000002,89.04,8.56
2020-07-29,32.18,14.89,19.56,145.15200000000002,76.65,22.75
2020-07-30,27.6,15.59,0.25,263.52,79.86,19.48
2020-07-31,29.65,14.15,0.0,127.872,71.01,26.17
2020-08-01,31.63,14.97,0.0,104.544,68.98,25.92
2020-08-02,27.94,15.92,0.0,187.488,71.44,22.4
2020-08-03,26.58,15.1,6.6,170.208,76.37,20.66
2020-08-04,28.56,15.78,5.33,360.288,70.54,23.33
2020-08-05,28.9,14.77,0.0,210.816,75.85,25.1
2020-08-06,29.1,17.42,12.95,311.04,79.46,20.46
2020-08-07,31.98,20.15,1.27,165.024,77.55,25.41
2020-08-08,35.67,19.06,0.0,248.832,57.78,25.56
2020-08-09,35.67,20.29,0.0,247.104,50.21,24.8
2020-08-10,33.07,17.15,0.0,190.08000000000004,66.84,19.48
2020-08-11,31.91,14.29,0.0,242.78400000000002,70.52,24.5
2020-08-12,30.75,17.55,0.0,236.73600000000005,73.41,22.15
2020-08-13,32.18,20.42,0.0,158.11200000000002,77.57,22.02
2020-08-14,33.21,18.65,0.0,148.608,81.77,18.51
2020-08-15,31.29,23.02,0.0,206.49600000000004,65.62,21.85
2020-08-16,29.99,18.25,3.56,256.60800000000006,72.89,21.53
2020-08-17,33.07,14.29,0.0,148.608,57.67,24.97
2020-08-18,32.25,15.79,0.0,242.78400000000002,59.4,23.07
