*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2020 216    62    1000    8784   38992       0   38992   38855   136.9    8.00   876.0  3886.8    0.00  3886.8  3881.3    5.57
 2020 217    63    1000    8784   38988       0   38988   38854   134.2    8.00   876.0  3886.6    0.00  3886.6  3881.1    5.48
 2020 218    64    1000    8784   38984       0   38984   38853   131.4    8.00   876.0  3886.4    0.00  3886.4  3881.0    5.39
 2020 219    65    1000    8784   38980       0   38980   38852   128.5    8.00   875.9  3886.1    0.00  3886.1  3880.8    5.30
 2020 220    66    1000    8784   38977       0   38977   38850   126.3    8.00   875.9  3885.9    0.00  3885.9  3880.7    5.23
 2020 221    67    1000    8784   38973       0   38973   38849   123.6    8.00   875.9  3885.6    0.00  3885.6  3880.5    5.14
 2020 222    68    1000    8784   38969       0   38969   38848   120.8    8.00   875.9  3885.4    0.00  3885.4  3880.3    5.04
 2020 223    69    1000    8783   38965       0   38965   38846   118.3    8.00   875.8  3885.1    0.00  3885.1  3880.1    4.95
 2020 224    70    1000    8783   38961       0   38961   38845   115.9    8.00   875.8  3884.8    0.00  3884.8  3880.0    4.87
 2020 225    71    1000    8783   38957       0   38957   38843   113.6    8.00   875.8  3884.6    0.00  3884.6  3879.8    4.79
 2020 226    72    1000    8783   38953       0   38953   38841   111.5    8.00   875.7  3884.3    0.00  3884.3  3879.6    4.72
 2020 227    73    1000    8783   38949       0   38949   38840   109.7    8.00   875.7  3884.0    0.00  3884.0  3879.4    4.65
 2020 228    74    1000    8783   38946       0   38946   38838   108.0    8.00   875.7  3883.8    0.00  3883.8  3879.2    4.59
 2020 229    75    1000    8782   38943       0   38943   38836   106.5    8.00   875.6  3883.5    0.00  3883.5  3879.0    4.53
 2020 230    76    1000    8782   38939       0   38939   38835   104.2    8.00   875.6  3883.3    0.00  3883.3  3878.8    4.45
 2020 231    77    1000    8782   38935       0   38935   38833   102.3    8.00   875.6  3883.0    0.00  3883.0  3878.6    4.38
 2020 232    78    1000    8782   38932       0   38932   38831   100.5    8.00   875.6  3882.8    0.00  3882.8  3878.5    4.31
 2020 233    79    1000    8782   38929       0   38929   38830    98.9    8.00   875.5  3882.5    0.00  3882.5  3878.3    4.25
 2020 234    80    1000    8781   38925       0   38925   38828    97.4    8.00   875.5  3882.3    0.00  3882.3  3878.1    4.20
 2020 235    81    1000    8781   38922       0   38922   38826    96.0    8.00   875.5  3882.0    0.00  3882.0  3877.9    4.14
 2020 236    82    1000    8781   38919       0   38919   38825    94.8    8.00   875.4  3881.8    0.00  3881.8  3877.7    4.10
 2020 237    83    1000    8781   38916       0   38916   38823    93.6    8.00   875.4  3881.6    0.00  3881.6  3877.5    4.05
 2020 238    84    1000    8780   38914       0   38914   38821    92.5    8.00   875.4  3881.3    0.00  3881.3  3877.3    4.01
 2020 239    85    1000    8780   38911       0   38911   38819    91.4    8.00   875.3  3881.1    0.00  3881.1  3877.1    3.97
 2020 240    86    1000    8780   38908       0   38908   38817    90.4    8.00   875.3  3880.9    0.00  3880.9  3876.9    3.92
 2020 241    87    1000    8779   38905       0   38905   38816    89.4    8.00   875.3  3880.6    0.00  3880.6  3876.7    3.89
 2020 242    88    1000    8779   38902       0   38902   38814    88.0    8.00   875.2  3880.4    0.00  3880.4  3876.5    3.83
 2020 243    89    1000    8779   38898       0   38898   38812    86.6    8.00   875.2  3880.1    0.00  3880.1  3876.3    3.77
 2020 244    90    1000    8779   38895       0   38895   38810    85.0    8.00   875.1  3879.9    0.00  3879.9  3876.1    3.71
 2020 245    91    1000    8778   38892       0   38892   38808    83.5    8.00   875.1  3879.6    0.00  3879.6  3876.0    3.65
 2020 246    92    1000    8778   38889       0   38889   38807    82.3    8.00   875.1  3879.4    0.00  3879.4  3875.8    3.61
 2020 247    93    1000    8778   38887       0   38887   38805    81.3    8.00   875.1  3879.2    0.00  3879.2  3875.6    3.56
 2020 248    94    1000    8778   38884       0   38884   38804    80.3    8.00   875.0  3879.0    0.00  3879.0  3875.5    3.52
 2020 249    95    1000    8777   38882       0   38881   38802    79.3    8.00   875.0  3878.8    0.00  3878.8  3875.3    3.49
 2020 250    96    1000    8777   38879       0   38879   38801    78.3    8.00   875.0  3878.6    0.00  3878.6  3875.1    3.45
 2020 251    97    1000    8777   38877       1   38876   38799    77.3    8.00   874.9  3878.4    0.05  3878.3  3874.9    3.40
 2020 252    98    1000    8777   38874       1   38873   38797    76.2    8.00   874.9  3878.1    0.05  3878.1  3874.7    3.36
 2020 253    99    1000    8776   38871       1   38870   38795    75.2    8.00   874.9  3877.9    0.05  3877.9  3874.6    3.32
 2020 254   100    1000    8776   38869       1   38868   38794    74.5    8.00   874.8  3877.7    0.05  3877.7  3874.4    3.29
 2020 255   101    1000    8776   38867       1   38867   38793    73.9    8.00   874.8  3877.6    0.05  3877.6  3874.3    3.26
 2020 256   102    1000    8776   38866       1   38865   38792    73.5    8.00   874.8  3877.5    0.05  3877.4  3874.2    3.24
 2020 257   103    1000    8776   38865       1   38864   38791    73.0    8.00   874.8  3877.4    0.05  3877.3  3874.1    3.23
 2020 258   104    1000    8776   38863       1   38862   38790    72.4    8.00   874.8  3877.3    0.06  3877.2  3874.0    3.20
 2020 259   105    1000    8775   38861       1   38860   38789    71.7    8.00   874.7  3877.1    0.06  3877.0  3873.9    3.17
 2020 260   106    1000    8775   38859       1   38858   38787    70.8    8.00   874.7  3876.9    0.06  3876.8  3873.7    3.13
 2020 261   107    1000    8775   38856       1   38856   38786    69.9    8.00   874.7  3876.7    0.06  3876.6  3873.5    3.10
 2020 262   108    1000    8775   38854       1   38853   38784    69.1    8.00   874.7  3876.5    0.06  3876.4  3873.4    3.06
 2020 263   109    1000    8774   38852       1   38851   38783    68.3    8.00   874.6  3876.3    0.06  3876.2  3873.2    3.03
 2020 264   110    1000    8774   38850       1   38849   38781    67.5    8.00   874.6  3876.1    0.06  3876.1  3873.1    2.99
 2020 265   111    1000    8774   38847       1   38846   38780    66.7    8.00   874.6  3875.9    0.06  3875.9  3872.9    2.96
 2020 266   112    1000    8774   38845       1   38844   38778    65.9    8.00   874.5  3875.7    0.07  3875.7  3872.7    2.92
 2020 267   113    1000    8773   38843       1   38842   38777    65.2    8.00   874.5  3875.5    0.07  3875.5  3872.6    2.89
 2020 268   114    1000    8773   38841       1   38839   38775    64.5    8.00   874.5  3875.3    0.07  3875.3  3872.4    2.86
 2020 269   115    1000    8773   38838       1   38837   38773    63.6    8.00   874.4  3875.1    0.07  3875.0  3872.2    2.82
 2020 270   116    1000    8772   38836       1   38834   38771    62.9    8.00   874.4  3874.9    0.07  3874.8  3872.0    2.79
 2020 271   117    1000    8772   38833       1   38832   38770    62.1    8.00   874.4  3874.7    0.08  3874.6  3871.8    2.75
 2020 272   118    1000    8772   38831       1   38829   38768    61.3    8.00   874.3  3874.4    0.08  3874.4  3871.7    2.72
 2020 273   119    1000    8772   38828       1   38827   38766    60.6    8.00   874.3  3874.2    0.08  3874.2  3871.5    2.69
 2020 274   120    1000    8771   38826       1   38825   38765    60.1    8.00   874.3  3874.1    0.08  3874.0  3871.3    2.66
 2020 275   121    1000    8771   38824       1   38823   38763    59.5    8.00   874.2  3873.9    0.08  3873.8  3871.2    2.64
 2020 276   122    1000    8771   38822       1   38821   38762    59.0    8.00   874.2  3873.7    0.08  3873.6  3871.0    2.62
 2020 277   123    1000    8771   38821       1   38819   38761    58.6    8.00   874.2  3873.6    0.08  3873.5  3870.9    2.60
 2020 278   124    1000    8770   38819       1   38817   38759    58.1    8.00   874.2  3873.4    0.08  3873.3  3870.8    2.58
 2020 279   125    1000    8770   38817       1   38816   38758    57.7    8.00   874.1  3873.3    0.08  3873.2  3870.6    2.56
 2020 280   126    1000    8770   38815       2   38814   38757    57.3    8.00   874.1  3873.1    0.08  3873.0  3870.5    2.54
 2020 281   127    1000    8770   38814       2   38812   38755    56.9    8.00   874.1  3872.9    0.09  3872.8  3870.3    2.52
 2020 282   128    1000    8769   38812       2   38810   38754    56.3    8.00   874.1  3872.8    0.09  3872.7  3870.2    2.50
 2020 283   129    1000    8769   38810       2   38808   38752    55.8    8.00   874.0  3872.6    0.09  3872.5  3870.0    2.48
 2020 284   130    1000    8769   38808       2   38806   38750    55.4    8.00   874.0  3872.4    0.10  3872.3  3869.8    2.46
 2020 285   131    1000    8768   38805       2   38803   38749    54.8    8.00   874.0  3872.2    0.11  3872.1  3869.6    2.43
 2020 286   132    1000    8768   38803       2   38801   38747    54.2    8.00   873.9  3872.0    0.13  3871.8  3869.4    2.41
 2020 287   133    1000    8768   38801       2   38799   38745    53.6    8.00   873.9  3871.8    0.13  3871.6  3869.3    2.38
 2020 288   134    1000    8768   38799       3   38797   38743    53.2    8.00   873.9  3871.6    0.14  3871.5  3869.1    2.37
 2020 289   135    1000    8767   38797       3   38795   38742    52.8    8.00   873.8  3871.4    0.14  3871.3  3868.9    2.35
 2020 290   136    1000    8767   38796       3   38793   38740    52.4    8.00   873.8  3871.3    0.14  3871.1  3868.8    2.33
