*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2020 202    48    1000    8786   39014       0   39014   38877   137.4    8.00   876.3  3889.0    0.00  3889.0  3883.4    5.64
 2020 203    49    1000    8786   39009       0   39009   38875   133.8    8.00   876.2  3888.7    0.00  3888.7  3883.2    5.52
 2020 204    50    1000    8786   39005       0   39005   38874   130.6    8.00   876.2  3888.5    0.00  3888.5  3883.0    5.41
 2020 205    51    1000    8786   39000       0   39000   38872   127.8    8.00   876.2  3888.2    0.00  3888.2  3882.9    5.32
 2020 206    52    1000    8786   38996       0   38996   38871   125.3    8.00   876.2  3887.9    0.00  3887.9  3882.7    5.23
 2020 207    53    1000    8786   38992       0   38992   38869   122.8    8.00   876.1  3887.7    0.00  3887.7  3882.5    5.15
 2020 208    54    1000    8786   38988       0   38988   38868   120.4    8.00   876.1  3887.4    0.00  3887.4  3882.3    5.06
 2020 209    55    1000    8786   38984       0   38984   38866   118.0    8.00   876.1  3887.1    0.00  3887.1  3882.1    4.98
 2020 210    56    1000    8785   38980       0   38980   38864   115.5    8.00   876.0  3886.8    0.00  3886.8  3881.9    4.89
 2020 211    57    1000    8785   38976       0   38976   38863   112.9    8.00   876.0  3886.5    0.00  3886.5  3881.7    4.79
 2020 212    58    1000    8785   38972       0   38972   38861   110.7    8.00   876.0  3886.3    0.00  3886.3  3881.6    4.71
 2020 213    59    1000    8785   38969       0   38969   38860   108.5    8.00   876.0  3886.0    0.00  3886.0  3881.4    4.64
 2020 214    60    1000    8785   38965       0   38965   38859   106.5    8.00   875.9  3885.8    0.00  3885.8  3881.2    4.56
 2020 215    61    1000    8785   38962       0   38962   38857   104.7    8.00   875.9  3885.6    0.00  3885.6  3881.1    4.49
 2020 216    62    1000    8785   38959       0   38959   38856   103.1    8.00   875.9  3885.4    0.00  3885.4  3880.9    4.43
 2020 217    63    1000    8784   38956       0   38956   38854   101.4    8.00   875.9  3885.1    0.00  3885.1  3880.8    4.37
 2020 218    64    1000    8784   38953       0   38953   38853    99.6    8.00   875.8  3884.9    0.00  3884.9  3880.6    4.30
 2020 219    65    1000    8784   38949       0   38949   38851    97.8    8.00   875.8  3884.7    0.00  3884.7  3880.4    4.23
 2020 220    66    1000    8784   38946       0   38946   38850    96.4    8.00   875.8  3884.4    0.00  3884.4  3880.3    4.18
 2020 221    67    1000    8784   38943       0   38943   38849    94.7    8.00   875.7  3884.2    0.00  3884.2  3880.1    4.12
 2020 222    68    1000    8784   38940       0   38940   38847    92.9    8.00   875.7  3884.0    0.00  3884.0  3879.9    4.05
 2020 223    69    1000    8783   38937       0   38937   38845    91.3    8.00   875.7  3883.7    0.00  3883.7  3879.7    3.98
 2020 224    70    1000    8783   38933       0   38933   38843    89.8    8.00   875.6  3883.5    0.00  3883.5  3879.5    3.92
 2020 225    71    1000    8783   38930       0   38930   38842    88.3    8.00   875.6  3883.2    0.00  3883.2  3879.3    3.86
 2020 226    72    1000    8783   38927       0   38927   38840    86.9    8.00   875.6  3883.0    0.00  3883.0  3879.1    3.81
 2020 227    73    1000    8782   38924       0   38924   38838    85.7    8.00   875.5  3882.7    0.00  3882.7  3879.0    3.76
 2020 228    74    1000    8782   38921       0   38921   38836    84.6    8.00   875.5  3882.5    0.00  3882.5  3878.8    3.71
 2020 229    75    1000    8782   38918       0   38918   38835    83.6    8.00   875.5  3882.3    0.00  3882.3  3878.6    3.67
 2020 230    76    1000    8782   38915       0   38915   38833    82.1    8.00   875.4  3882.0    0.00  3882.0  3878.4    3.61
 2020 231    77    1000    8781   38912       0   38912   38831    80.9    8.00   875.4  3881.8    0.00  3881.8  3878.2    3.56
 2020 232    78    1000    8781   38909       0   38909   38829    79.5    8.00   875.4  3881.5    0.00  3881.5  3878.0    3.51
