*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2020 163     9   212   157      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.086   0.087   0.085   0.086   0.085   0.075   0.075   0.129   0.256
 2020 164    10   209   154      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.073   0.081   0.082   0.084   0.084   0.074   0.075   0.128   0.255
 2020 165    11   208   153      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.066   0.079   0.081   0.084   0.084   0.074   0.075   0.128   0.255
 2020 166    12   208   152      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.061   0.077   0.081   0.084   0.084   0.074   0.075   0.128   0.255
 2020 167    13   207   152      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.056   0.075   0.080   0.084   0.084   0.074   0.075   0.128   0.255
 2020 168    14   207   151      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.051   0.073   0.080   0.084   0.084   0.074   0.075   0.128   0.255
 2020 169    15   206   151      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.048   0.072   0.079   0.084   0.084   0.074   0.075   0.128   0.255
 2020 170    16   206   150      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.044   0.070   0.079   0.084   0.084   0.074   0.075   0.128   0.255
 2020 171    17   206   151      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.051   0.068   0.078   0.084   0.084   0.074   0.075   0.128   0.255
 2020 172    18   205   150      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.047   0.067   0.078   0.084   0.084   0.074   0.075   0.128   0.255
 2020 173    19   205   150      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.044   0.066   0.077   0.084   0.084   0.074   0.075   0.128   0.255
 2020 174    20   205   149      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.041   0.065   0.076   0.084   0.084   0.074   0.075   0.128   0.255
 2020 175    21   204   149      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.038   0.064   0.076   0.084   0.084   0.074   0.075   0.128   0.255
 2020 176    22   204   149      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.035   0.063   0.075   0.084   0.084   0.074   0.075   0.128   0.255
 2020 177    23   204   148      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.033   0.062   0.075   0.084   0.084   0.074   0.075   0.128   0.255
 2020 178    24   203   148      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.031   0.061   0.074   0.084   0.084   0.074   0.075   0.128   0.255
 2020 179    25   203   148      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.029   0.060   0.074   0.084   0.084   0.074   0.075   0.128   0.255
 2020 180    26   203   148      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.027   0.060   0.073   0.083   0.084   0.074   0.075   0.128   0.255
 2020 181    27   203   147      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.025   0.059   0.073   0.083   0.084   0.074   0.075   0.128   0.255
 2020 182    28   202   147      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.024   0.059   0.072   0.083   0.084   0.074   0.075   0.128   0.255
 2020 183    29   202   147      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.023   0.058   0.072   0.083   0.084   0.074   0.075   0.128   0.255
 2020 184    30   202   147      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.021   0.058   0.072   0.083   0.084   0.074   0.075   0.128   0.255
 2020 185    31   202   147      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.020   0.057   0.071   0.083   0.084   0.074   0.075   0.128   0.255
 2020 186    32   202   146      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.019   0.057   0.071   0.083   0.084   0.074   0.075   0.128   0.255
 2020 187    33   201   146      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.018   0.056   0.070   0.083   0.084   0.074   0.075   0.128   0.255
 2020 188    34   201   146      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.017   0.056   0.070   0.083   0.084   0.074   0.075   0.128   0.255
 2020 189    35   201   146      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.016   0.055   0.070   0.083   0.084   0.074   0.075   0.128   0.255
 2020 190    36   201   146      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.016   0.055   0.069   0.083   0.084   0.074   0.075   0.128   0.255
 2020 191    37   201   146      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.015   0.054   0.069   0.083   0.084   0.074   0.075   0.128   0.255
 2020 192    38   201   146      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.014   0.054   0.069   0.083   0.084   0.074   0.075   0.128   0.255
 2020 193    39   201   145      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.014   0.054   0.068   0.083   0.084   0.074   0.075   0.128   0.255
 2020 194    40   201   145      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.013   0.053   0.068   0.083   0.084   0.074   0.075   0.128   0.255
 2020 195    41   200   145      0      4     13     0     0   180    0.00   0.0   0.0   0.00   0.013   0.053   0.068   0.083   0.084   0.074   0.075   0.128   0.255
 2020 196    42   203   147      0      4     16     0     0   180    0.00   0.0   0.0   0.00   0.060   0.053   0.067   0.083   0.084   0.074   0.075   0.128   0.255
 2020 197    43   202   147      0      4     16     0     0   180    0.00   0.0   0.0   0.00   0.055   0.052   0.067   0.083   0.084   0.074   0.075   0.128   0.254
 2020 198    44   202   147      0      4     16     0     0   180    0.00   0.0   0.0   0.00   0.051   0.052   0.067   0.083   0.084   0.074   0.075   0.128   0.254
 2020 199    45   206   151      0      4     21     0     0   180    0.00   0.0   0.0   0.00   0.112   0.064   0.067   0.083   0.084   0.074   0.075   0.128   0.254
 2020 200    46   213   158      0      4     31     0     0   180    0.00   0.0   0.0   0.00   0.147   0.108   0.082   0.081   0.082   0.073   0.074   0.127   0.253
 2020 201    47   210   155      0      4     31     0     0   180    0.00   0.0   0.0   0.00   0.106   0.099   0.087   0.084   0.081   0.072   0.073   0.126   0.251
 2020 202    48   206   151      0      4     31     0     0   180    0.00   0.0   0.0   0.00   0.083   0.087   0.085   0.084   0.085   0.072   0.073   0.125   0.249
 2020 203    49   203   148      0      4     31     0     0   180    0.00   0.0   0.0   0.00   0.072   0.082   0.082   0.083   0.083   0.071   0.072   0.124   0.248
 2020 204    50   203   148      0      4     31     0     0   180    0.00   0.0   0.0   0.00   0.066   0.081   0.082   0.083   0.083   0.071   0.072   0.124   0.248
 2020 205    51   202   147      0      4     31     0     0   180    0.00   0.0   0.0   0.00   0.061   0.080   0.081   0.083   0.083   0.071   0.072   0.124   0.248
 2020 206    52   202   147      0      4     31     0     0   180    0.00   0.0   0.0   0.00   0.056   0.079   0.081   0.083   0.083   0.071   0.072   0.124   0.248
 2020 207    53   202   146      0      4     31     0     0   180    0.00   0.0   0.0   0.00   0.052   0.078   0.081   0.083   0.083   0.071   0.072   0.124   0.248
 2020 208    54   241   185      1      4     75     0     0   180    0.00   0.0   0.0   1.45   0.152   0.152   0.154   0.140   0.111   0.079   0.075   0.123   0.246
 2020 209    55   240   185      1      4     77     0     0   180    0.00   0.0   0.0   0.00   0.132   0.126   0.132   0.136   0.123   0.087   0.081   0.128   0.245
 2020 210    56   226   171      1     15     77     0     0   180    0.00   0.0   0.0   0.00   0.098   0.102   0.107   0.109   0.103   0.081   0.078   0.129   0.257
 2020 211    57   229   174      1     15     84     0     0   180    0.00   0.0   0.0   0.00   0.146   0.104   0.101   0.105   0.104   0.082   0.080   0.131   0.257
 2020 212    58   225   170      1     15     84     0     0   180    0.00   0.0   0.0   0.00   0.105   0.097   0.096   0.100   0.101   0.082   0.081   0.132   0.258
 2020 213    59   217   161      1     20     84     0     0   180    0.00   0.0   0.0   0.00   0.083   0.086   0.088   0.091   0.092   0.078   0.078   0.131   0.257
 2020 214    60   213   158      1     21     84     0     0   180    0.00   0.0   0.0   0.00   0.072   0.082   0.086   0.087   0.088   0.077   0.077   0.130   0.256
 2020 215    61   210   155      1     21     84     0     0   180    0.00   0.0   0.0   0.00   0.062   0.077   0.083   0.085   0.086   0.076   0.076   0.129   0.255
 2020 216    62   215   159      1     21     92     0     0   180    0.00   0.0   0.0   0.00   0.148   0.092   0.086   0.086   0.085   0.076   0.076   0.128   0.253
 2020 217    63   214   159      1     21     95     0     0   180    0.00   0.0   0.0   0.00   0.131   0.097   0.088   0.087   0.086   0.075   0.075   0.127   0.251
 2020 218    64   210   155      1     21     95     0     0   180    0.00   0.0   0.0   0.00   0.094   0.087   0.086   0.085   0.085   0.075   0.075   0.129   0.249
 2020 219    65   219   164      1     21    107     0     0   180    0.00   0.0   0.0   0.00   0.148   0.124   0.098   0.091   0.087   0.076   0.075   0.128   0.248
 2020 220    66   215   160      1     21    107     0     0   180    0.00   0.0   0.0   0.00   0.102   0.099   0.089   0.087   0.086   0.075   0.075   0.129   0.256
 2020 221    67   212   157      1     21    107     0     0   180    0.00   0.0   0.0   0.00   0.082   0.088   0.085   0.085   0.085   0.075   0.075   0.129   0.256
 2020 222    68   209   153      1     21    107     0     0   180    0.00   0.0   0.0   0.00   0.071   0.083   0.082   0.084   0.084   0.074   0.075   0.128   0.254
 2020 223    69   208   153      1     21    107     0     0   180    0.00   0.0   0.0   0.00   0.065   0.082   0.082   0.083   0.084   0.074   0.075   0.128   0.254
 2020 224    70   208   153      1     21    107     0     0   180    0.00   0.0   0.0   0.00   0.060   0.081   0.082   0.083   0.084   0.074   0.075   0.128   0.254
 2020 225    71   207   152      1     21    107     0     0   180    0.00   0.0   0.0   0.00   0.055   0.080   0.082   0.083   0.084   0.074   0.075   0.128   0.254
 2020 226    72   207   152      1     21    107     0     0   180    0.00   0.0   0.0   0.00   0.051   0.079   0.081   0.083   0.084   0.074   0.075   0.128   0.254
 2020 227    73   207   151      1     21    107     0     0   180    0.00   0.0   0.0   0.00   0.048   0.078   0.081   0.083   0.083   0.074   0.075   0.128   0.254
 2020 228    74   206   151      1     21    107     0     0   180    0.00   0.0   0.0   0.00   0.044   0.077   0.081   0.083   0.083   0.074   0.075   0.128   0.254
 2020 229    75   209   154      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.089   0.079   0.080   0.083   0.083   0.074   0.075   0.128   0.254
 2020 230    76   206   150      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.077   0.075   0.078   0.082   0.082   0.073   0.074   0.127   0.253
 2020 231    77   205   150      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.071   0.074   0.078   0.082   0.082   0.073   0.074   0.127   0.253
 2020 232    78   205   150      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.065   0.073   0.077   0.082   0.082   0.073   0.074   0.127   0.253
 2020 233    79   204   149      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.060   0.072   0.077   0.082   0.082   0.073   0.074   0.127   0.253
 2020 234    80   204   149      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.056   0.071   0.077   0.082   0.082   0.073   0.074   0.127   0.253
 2020 235    81   204   148      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.052   0.070   0.077   0.081   0.082   0.073   0.074   0.127   0.253
 2020 236    82   203   148      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.048   0.070   0.076   0.081   0.082   0.073   0.074   0.127   0.253
 2020 237    83   203   148      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.044   0.069   0.076   0.081   0.082   0.073   0.074   0.127   0.253
 2020 238    84   203   148      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.041   0.068   0.076   0.081   0.082   0.073   0.074   0.127   0.253
 2020 239    85   203   147      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.039   0.067   0.076   0.081   0.082   0.073   0.074   0.127   0.253
 2020 240    86   202   147      1     21    110     0     0   180    0.00   0.0   0.0   0.00   0.036   0.067   0.075   0.081   0.082   0.073   0.074   0.127   0.253
 2020 241    87   238   182      2     21    149     0     0   180    0.00   0.0   0.0   0.36   0.153   0.152   0.154   0.118   0.099   0.077   0.075   0.126   0.251
 2020 242    88   239   184      2     21    153     0     0   180    0.00   0.0   0.0   0.00   0.155   0.133   0.135   0.126   0.113   0.083   0.079   0.129   0.250
 2020 243    89   224   169      2     33    153     0     0   180    0.00   0.0   0.0   0.00   0.105   0.104   0.107   0.104   0.098   0.079   0.077   0.129   0.256
 2020 244    90   217   161      2     37    153     0     0   180    0.00   0.0   0.0   0.00   0.083   0.090   0.094   0.093   0.090   0.078   0.076   0.129   0.256
 2020 245    91   213   158      2     38    153     0     0   180    0.00   0.0   0.0   0.00   0.074   0.084   0.088   0.088   0.087   0.077   0.076   0.129   0.257
 2020 246    92   210   155      2     38    153     0     0   180    0.00   0.0   0.0   0.00   0.064   0.080   0.085   0.086   0.086   0.076   0.075   0.128   0.255
 2020 247    93   210   155      2     38    153     0     0   180    0.00   0.0   0.0   0.00   0.064   0.080   0.085   0.086   0.086   0.076   0.075   0.128   0.255
 2020 248    94   210   155      2     38    153     0     0   180    0.00   0.0   0.0   0.00   0.064   0.080   0.085   0.086   0.086   0.076   0.075   0.128   0.255
 2020 249    95   210   155      2     38    153     0     0   180    0.00   0.0   0.0   0.00   0.064   0.080   0.085   0.086   0.086   0.076   0.075   0.128   0.255
 2020 250    96   210   155      2     38    153     0     0   180    0.00   0.0   0.0   0.00   0.064   0.080   0.085   0.086   0.086   0.076   0.075   0.128   0.255
 2020 251    97   210   155      2     38    153     0     0   180    0.00   0.0   0.0   0.00   0.064   0.080   0.085   0.086   0.086   0.076   0.075   0.128   0.255
 2020 252    98   219   164      2     38    162     0     0   180    0.00   0.0   0.0   0.00   0.165   0.102   0.091   0.089   0.089   0.076   0.075   0.128   0.255
 2020 253    99   240   185      2     38    183     0     0   180    0.00   0.0   0.0   0.11   0.165   0.158   0.140   0.114   0.101   0.080   0.079   0.128   0.255
 2020 254   100   241   185      2     38    184     0     0   180    0.00   0.0   0.0   0.00   0.139   0.133   0.128   0.121   0.111   0.084   0.082   0.132   0.257
 2020 255   101   228   172      2     51    184     0     0   180    0.00   0.0   0.0   0.00   0.112   0.110   0.107   0.104   0.099   0.080   0.079   0.132   0.258
 2020 256   102   221   166      2     57    184     0     0   180    0.00   0.0   0.0   0.00   0.099   0.098   0.097   0.095   0.092   0.078   0.079   0.132   0.258
 2020 257   103   218   163      2     60    184     0     0   180    0.00   0.0   0.0   0.00   0.093   0.092   0.091   0.090   0.089   0.078   0.079   0.132   0.258
 2020 258   104   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.090   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 259   105   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 260   106   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 261   107   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 262   108   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 263   109   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 264   110   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 265   111   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 266   112   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 267   113   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 268   114   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 269   115   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 270   116   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 271   117   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 272   118   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 273   119   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 274   120   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 275   121   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.089   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 276   122   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 277   123   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 278   124   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 279   125   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 280   126   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 281   127   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 282   128   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 283   129   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 284   130   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 285   131   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 286   132   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 287   133   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 288   134   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 289   135   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
 2020 290   136   217   162      2     62    184     0     0   180    0.00   0.0   0.0   0.00   0.088   0.088   0.089   0.088   0.088   0.078   0.079   0.132   0.258
