Date,1,2,3,4,5,6,7,8
6/5/2020,0.240922041,0.257262395,0.240172166,0.241075677,0.248036216,0.264981503,0.245901505,0.248870738
6/6/2020,0.249680356,0.268241188,0.248396165,0.249030272,0.256597146,0.276616284,0.253928146,0.259546003
6/7/2020,0.258438672,0.279219981,0.256620164,0.256984867,0.265158075,0.288251065,0.261954787,0.270221268
6/8/2020,0.267196987,0.290198774,0.264844163,0.264939461,0.273719004,0.299885845,0.269981429,0.280896533
6/9/2020,0.275955302,0.301177567,0.273068163,0.272894056,0.282279934,0.311520626,0.27800807,0.291571798
6/10/2020,0.284713617,0.312156359,0.281292162,0.280848651,0.290840863,0.323155407,0.286034711,0.302247063
6/11/2020,0.308034864,0.335469385,0.303939808,0.304582988,0.311585244,0.351423094,0.30831178,0.330409138
6/12/2020,0.331356111,0.35878241,0.326587454,0.328317326,0.332329624,0.379690781,0.330588849,0.358571213
6/13/2020,0.354677357,0.382095435,0.3492351,0.352051664,0.353074005,0.407958468,0.352865917,0.386733288
6/14/2020,0.377998604,0.40540846,0.371882747,0.375786002,0.373818386,0.436226155,0.375142986,0.414895363
6/15/2020,0.401319851,0.428721485,0.394530393,0.39952034,0.394562766,0.464493842,0.397420055,0.443057438
6/16/2020,0.39775499,0.423844616,0.388968962,0.391021498,0.388264933,0.461244749,0.388626003,0.437254233
6/17/2020,0.394190129,0.418967747,0.383407532,0.382522656,0.381967099,0.457995656,0.379831952,0.431451028
6/18/2020,0.390625268,0.414090878,0.377846101,0.374023815,0.375669265,0.454746564,0.3710379,0.425647823
6/19/2020,0.387060406,0.409214008,0.37228467,0.365524973,0.369371431,0.451497471,0.362243849,0.419844618
6/20/2020,0.383495545,0.404337139,0.366723239,0.357026132,0.363073597,0.448248378,0.353449797,0.414041413
6/21/2020,0.379930684,0.39946027,0.361161808,0.34852729,0.356775763,0.444999286,0.344655746,0.408238207
6/22/2020,0.376365823,0.394583401,0.355600378,0.340028449,0.350477929,0.441750193,0.335861694,0.402435002
6/23/2020,0.410131374,0.427838851,0.392337085,0.376793056,0.384571284,0.47484212,0.371228644,0.435312647
6/24/2020,0.443896925,0.4610943,0.429073793,0.413557663,0.418664639,0.507934047,0.406595594,0.468190292
6/25/2020,0.477662476,0.49434975,0.4658105,0.450322271,0.452757994,0.541025974,0.441962543,0.501067937
6/26/2020,0.511428027,0.5276052,0.502547208,0.487086878,0.486851348,0.574117901,0.477329493,0.533945582
6/27/2020,0.545193579,0.56086065,0.539283915,0.523851486,0.520944703,0.607209828,0.512696443,0.566823227
6/28/2020,0.57895913,0.5941161,0.576020623,0.560616093,0.555038058,0.640301755,0.548063392,0.599700871
6/29/2020,0.612724681,0.627371549,0.61275733,0.5973807,0.589131413,0.673393682,0.583430342,0.632578516
6/30/2020,0.646490232,0.660626999,0.649494038,0.634145308,0.623224767,0.706485609,0.618797292,0.665456161
7/1/2020,0.680255783,0.693882449,0.686230745,0.670909915,0.657318122,0.739577536,0.654164242,0.698333806
7/2/2020,0.714021334,0.727137899,0.722967453,0.707674523,0.691411477,0.772669463,0.689531191,0.731211451
7/3/2020,0.747786885,0.760393348,0.75970416,0.74443913,0.725504831,0.80576139,0.724898141,0.764089095
7/4/2020,0.735636971,0.761264285,0.748672364,0.734372548,0.724759573,0.804718887,0.716948203,0.757574936
7/5/2020,0.723487057,0.762135221,0.737640568,0.724305966,0.724014315,0.803676385,0.708998266,0.751060776
7/6/2020,0.711337143,0.763006157,0.726608773,0.714239384,0.723269057,0.802633882,0.701048328,0.744546617
7/7/2020,0.699187229,0.763877093,0.715576977,0.704172802,0.722523799,0.801591379,0.69309839,0.738032457
7/8/2020,0.730792439,0.788166156,0.745877854,0.737045646,0.748853798,0.823560715,0.7241229,0.764569693
7/9/2020,0.762397649,0.81245522,0.776178731,0.769918489,0.775183796,0.845530051,0.75514741,0.791106929
7/10/2020,0.794002859,0.836744283,0.806479608,0.802791333,0.801513794,0.867499387,0.786171919,0.817644165
7/11/2020,0.825608069,0.861033346,0.836780485,0.835664177,0.827843793,0.889468723,0.817196429,0.8441814
7/12/2020,0.857213279,0.885322409,0.867081362,0.868537021,0.854173791,0.911438059,0.848220938,0.870718636
7/13/2020,0.888818489,0.909611472,0.89738224,0.901409865,0.88050379,0.933407395,0.879245448,0.897255872
7/14/2020,0.898912089,0.921121385,0.90679068,0.911427209,0.891752625,0.944159828,0.889852069,0.9074828
7/15/2020,0.90900569,0.932631298,0.916199121,0.921444554,0.903001459,0.954912261,0.90045869,0.917709727
7/16/2020,0.91909929,0.94414121,0.925607562,0.931461899,0.914250294,0.965664695,0.911065311,0.927936655
7/17/2020,0.929192891,0.955651123,0.935016004,0.941479244,0.925499129,0.976417128,0.921671932,0.938163582
7/18/2020,0.939286492,0.967161036,0.944424444,0.951496588,0.936747964,0.987169561,0.932278553,0.94839051
7/19/2020,0.949380092,0.978670949,0.953832885,0.961513933,0.947996799,0.997921994,0.942885174,0.958617437
7/20/2020,0.959473693,0.990180861,0.963241326,0.971531278,0.959245633,1.008674427,0.953491795,0.968844365
7/21/2020,0.969567293,1.001690774,0.972649767,0.981548623,0.970494468,1.019426861,0.964098416,0.979071292
7/22/2020,0.966010869,0.993897877,0.969829134,0.978797609,0.964654763,1.009943742,0.960305288,0.973029919
7/23/2020,0.962454444,0.986104981,0.967008501,0.976046595,0.958815057,1.000460624,0.956512161,0.966988546
7/24/2020,0.958898019,0.978312084,0.964187867,0.973295582,0.952975351,0.990977505,0.952719033,0.960947173
7/25/2020,0.955341595,0.970519187,0.961367234,0.970544568,0.947135645,0.981494387,0.948925905,0.954905801
7/26/2020,0.946583371,0.961952135,0.952778622,0.962167637,0.93798299,0.973119394,0.940340304,0.946129101
7/27/2020,0.937825147,0.953385082,0.944190011,0.953790706,0.928830335,0.964744402,0.931754703,0.937352401
7/28/2020,0.929066924,0.94481803,0.9356014,0.945413776,0.919677679,0.956369409,0.923169102,0.928575701
7/29/2020,0.9203087,0.936250978,0.927012788,0.937036845,0.910525024,0.947994417,0.914583501,0.919799001
7/30/2020,0.911550476,0.927683925,0.918424177,0.928659914,0.901372368,0.939619424,0.9059979,0.911022301
7/31/2020,0.902792253,0.919116873,0.909835565,0.920282983,0.892219713,0.931244432,0.8974123,0.902245601
8/1/2020,0.894034029,0.91054982,0.901246954,0.911906053,0.883067058,0.922869439,0.888826699,0.893468901
8/2/2020,0.885275805,0.901982768,0.892658342,0.903529122,0.873914402,0.914494447,0.880241098,0.884692201
8/3/2020,0.876517581,0.893415716,0.884069731,0.895152191,0.864761747,0.906119454,0.871655497,0.875915502
8/4/2020,0.867759358,0.884848663,0.87548112,0.88677526,0.855609091,0.897744462,0.863069896,0.867138802
8/5/2020,0.859001134,0.876281611,0.866892508,0.87839833,0.846456436,0.889369469,0.854484295,0.858362102
8/6/2020,0.85024291,0.867714558,0.858303897,0.870021399,0.837303781,0.880994477,0.845898694,0.849585402
8/7/2020,0.841484686,0.859147506,0.849715285,0.861644468,0.828151125,0.872619484,0.837313093,0.840808702
8/8/2020,0.840332669,0.856789379,0.847449677,0.857924386,0.826748597,0.869871643,0.835272145,0.839484213
8/9/2020,0.839180651,0.854431253,0.845184068,0.854204304,0.825346068,0.867123802,0.833231197,0.838159724
8/10/2020,0.838028634,0.852073126,0.842918459,0.850484221,0.82394354,0.864375961,0.831190249,0.836835235
8/11/2020,0.836876616,0.849715,0.84065285,0.846764139,0.822541011,0.861628119,0.829149301,0.835510746
8/12/2020,0.835724599,0.847356873,0.838387242,0.843044057,0.821138483,0.858880278,0.827108353,0.834186257
8/13/2020,0.834572581,0.844998746,0.836121633,0.839323975,0.819735954,0.856132437,0.825067405,0.832861768
8/14/2020,0.833420564,0.84264062,0.833856024,0.835603893,0.818333426,0.853384596,0.823026457,0.831537279
8/15/2020,0.832268547,0.840282493,0.831590415,0.831883811,0.816930897,0.850636754,0.820985509,0.83021279
8/16/2020,0.826153861,0.836994227,0.827439826,0.829928194,0.814227136,0.846915011,0.818169992,0.825726257
8/17/2020,0.820039175,0.833705961,0.823289237,0.827972578,0.811523375,0.843193268,0.815354474,0.821239723
8/18/2020,0.81392449,0.830417695,0.819138648,0.826016962,0.808819613,0.839471525,0.812538956,0.81675319
8/19/2020,0.812596146,0.829782107,0.817830299,0.824725182,0.808132079,0.838515661,0.811992165,0.815525757
8/20/2020,0.811267802,0.829146518,0.81652195,0.823433401,0.807444545,0.837559796,0.811445375,0.814298324
8/21/2020,0.809939458,0.82851093,0.8152136,0.82214162,0.806757012,0.836603932,0.810898584,0.813070892
8/22/2020,0.808611114,0.827875342,0.813905251,0.82084984,0.806069478,0.835648067,0.810351794,0.811843459
8/23/2020,0.80728277,0.827239754,0.812596901,0.819558059,0.805381944,0.834692203,0.809805003,0.810616027
8/24/2020,0.805954426,0.826604166,0.811288552,0.818266278,0.80469441,0.833736338,0.809258212,0.809388594
8/25/2020,0.804626082,0.825968577,0.809980203,0.816974498,0.804006876,0.832780474,0.808711422,0.808161161
8/26/2020,0.803297738,0.825332989,0.808671853,0.815682717,0.803319342,0.831824609,0.808164631,0.806933729
8/27/2020,0.811887166,0.83281608,0.817174875,0.823684354,0.811235425,0.839820835,0.815937956,0.815519449
8/28/2020,0.820476593,0.840299171,0.825677897,0.831685991,0.819151507,0.847817062,0.823711281,0.82410517
8/29/2020,0.829066021,0.847782262,0.834180918,0.839687628,0.82706759,0.855813288,0.831484607,0.832690891
8/30/2020,0.837655448,0.855265353,0.84268394,0.847689264,0.834983672,0.863809514,0.839257932,0.841276612
8/31/2020,0.846244876,0.862748444,0.851186962,0.855690901,0.842899755,0.87180574,0.847031257,0.849862333
9/1/2020,0.854834303,0.870231535,0.859689983,0.863692538,0.850815837,0.879801966,0.854804582,0.858448054
9/2/2020,0.863423731,0.877714626,0.868193005,0.871694175,0.85873192,0.887798192,0.862577907,0.867033775
